Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
FBTP201909,Eurex,,IKU9 Comdty,???
FBTP201912,Eurex,,IKZ9 Comdty,???
FBTS201906,Eurex,,BTSM9 Comdty,???
FBTS201909,Eurex,,BTSU9 Comdty,???
FBTS201912,Eurex,,BTSZ9 Comdty,???
FDAX201912,Eurex,,GXZ9 Comdty,???
FDXM201912,Eurex,,DFWZ9 Comdty,???
FESB201906,Eurex,,CAM9 Comdty,???
FGBL201912,Eurex,,RXZ9 Comdty,???
FGBM201903,Eurex,,OEH9 Comdty,???
FGBM201906,Eurex,,OEM9 Comdty,???
FGBM201909,Eurex,,OEU9 Comdty,???
FGBM201912,Eurex,,OEZ9 Comdty,???
FGBS201909,Eurex,,DUU9 Comdty,???
FGBS201912,Eurex,,DUZ9 Comdty,???
FGBX201906,Eurex,,UBM9 Comdty,???
FGBX201909,Eurex,,UBU9 Comdty,???
FGBX201912,Eurex,,UBZ9 Comdty,???
FOAT201909,Eurex,,OATU9 Comdty,???
FOAT201912,Eurex,,OATZ9 Comdty,???
IT0000366655,MOT,,GG717874@CBBT Corp,???
IT0001086567,MOT,,GG730271@CBBT Corp,???
IT0001174611,MOT,,GG736613@CBBT Corp,???
IT0001278511,MOT,,EC065947@CBBT Corp,???
IT0001444378,MOT,,EC237370@CBBT Corp,???
IT0003256820,MOT,,EC534684@CBBT Corp,???
IT0003493258,MOT,,ED025555@BGN  Corp,???
IT0003535157,MOT,,ED154470@CBBT Corp,???
IT0003644769,MOT,,ED382316@CBBT Corp,???
IT0003934657,MOT,,EF130795@CBBT Corp,???
IT0004009673,MOT,,EF259738@CBBT Corp,???
IT0004286966,MOT,,EG939837@CBBT Corp,???
IT0004356843,MOT,,EH305692@CBBT Corp,???
IT0004361041,MOT,,EH326554@BGN  Corp,???
IT0004423957,MOT,,EH603832@CBBT Corp,???
IT0004489610,MOT,,EH802597@CBBT Corp,???
IT0004513641,MOT,,EH896068@CBBT Corp,???
IT0004532559,MOT,,EH969116@CBBT Corp,???
IT0004536949,MOT,,EH986306@CBBT Corp,???
IT0004594930,MOT,,EI201806@CBBT Corp,???
IT0004634132,MOT,,EI385633@CBBT Corp,???
IT0004644735,MOT,,EI415319@CBBT Corp,???
IT0004695075,MOT,,EI586386@CBBT Corp,???
IT0004759673,MOT,,EI793398@CBBT Corp,???
IT0004801541,MOT,,EJ042056@CBBT Corp,???
IT0004848831,MOT,,EJ341690@CBBT Corp,???
IT0004889033,MOT,,EJ514272@CBBT Corp,???
IT0004898034,MOT,,EJ568862@CBBT Corp,???
IT0004922909,MOT,,EJ671485@BGN  Corp,???
IT0004923998,MOT,,EJ679466@CBBT Corp,???
IT0004953417,MOT,,EJ770441@CBBT Corp,???
IT0004957574,MOT,,EJ807144@BGN  Corp,???
IT0004966401,MOT,,EJ873702@CBBT Corp,???
IT0004992308,MOT,,EK048427@CBBT Corp,???
IT0005001547,MOT,,EK093352@CBBT Corp,???
IT0005009839,MOT,,EK147627@CBBT Corp,???
IT0005024234,MOT,,EK274354@CBBT Corp,???
IT0005028003,MOT,,EK324067@CBBT Corp,???
IT0005030504,MOT,,EK352661@CBBT Corp,???
IT0005045270,MOT,,EK457296@CBBT Corp,???
IT0005056541,MOT,,EK515042@CBBT Corp,???
IT0005069395,MOT,,EK624270@CBBT Corp,???
IT0005083057,MOT,,EK699416@CBBT Corp,???
IT0005086886,MOT,,EK745781@CBBT Corp,???
IT0005090318,MOT,,EK769119@CBBT Corp,???
IT0005094088,MOT,,EK808607@CBBT Corp,???
IT0005104473,MOT,,EK828355@CBBT Corp,???
IT0005107708,MOT,,EK881915@CBBT Corp,???
IT0005127086,MOT,,UV656956@CBBT Corp,???
IT0005135840,MOT,,UV826532@CBBT Corp,???
IT0005137614,MOT,,UV993359@CBBT Corp,???
IT0005139099,MOT,,QJ080376@BGN  Corp,???
IT0005142143,MOT,,QJ398197@CBBT Corp,???
IT0005162828,MOT,,JV910526@CBBT Corp,???
IT0005170839,MOT,,JK234401@CBBT Corp,???
IT0005172322,MOT,,JK394212@CBBT Corp,???
IT0005175598,MOT,,JK584882@CBBT Corp,???
IT0005177271,MOT,,JK757528@CBBT Corp,???
IT0005177909,MOT,,JK840318@CBBT Corp,???
IT0005185456,MOT,,JK903414@CBBT Corp,???
IT0005210650,MOT,,QZ016755@CBBT Corp,???
IT0005215246,MOT,,QZ510774@CBBT Corp,???
IT0005216491,MOT,,QZ693949@CBBT Corp,???
IT0005217390,MOT,,QZ766515@CBBT Corp,???
IT0005217929,MOT,,QZ853646@CBBT Corp,???
IT0005218968,MOT,,AL011192@CBBT Corp,???
IT0005221285,MOT,,AL400731@BGN  Corp,???
IT0005240350,MOT,,AM201615@CBBT Corp,???
IT0005240830,MOT,,AM293682@CBBT Corp,???
IT0005244782,MOT,,AM628616@CBBT Corp,???
IT0005246340,MOT,,AM796312@CBBT Corp,???
IT0005250946,MOT,,AN204951@CBBT Corp,???
IT0005252520,MOT,,AN317190@CBBT Corp,???
IT0005256471,MOT,,AN733361@CBBT Corp,???
IT0005260010,MOT,,AN825221@BGN  Corp,???
IT0005273013,MOT,,AN868354@CBBT Corp,???
IT0005274805,MOT,,AO147957@CBBT Corp,???
IT0005274987,MOT,,AO199284@BGN  Corp,???
IT0005277444,MOT,,AO513570@CBBT Corp,???
IT0005278327,MOT,,AO588772@BGN  Corp,???
IT0005281933,MOT,,AP011188@BGN  Corp,???
IT0005282527,MOT,,AP093098@CBBT Corp,???
IT0005284044,MOT,,AP383655@BGN  Corp,???
IT0005285041,MOT,,AP508759@CBBT Corp,???
IT0005289274,MOT,,AP703781@CBBT Corp,???
IT0005311508,MOT,,AP741704@CBBT Corp,???
IT0005311847,MOT,,AP860262@BGN  Corp,???
IT0005317331,MOT,,AQ272647@BGN  Corp,???
IT0005317349,MOT,,AQ272649@BGN  Corp,???
IT0005320178,MOT,,AQ584625@BGN  Corp,???
IT0005320186,MOT,,AQ584626@BGN  Corp,???
IT0005321325,MOT,,AQ706282@CBBT Corp,???
IT0005323032,MOT,,AQ935391@CBBT Corp,???
IT0005325946,MOT,,AR461831@CBBT Corp,???
IT0005327306,MOT,,AR689537@CBBT Corp,???
IT0005331878,MOT,,AS358937@CBBT Corp,???
IT0005340929,MOT,,AT758770@CBBT Corp,???
IT0005345183,MOT,,AU474747@CBBT Corp,???
IT0005348443,MOT,,AU896732@CBBT Corp,???
LU1489399342,SDX,SMIBL3,QZ960000@EXCH Corp,???
LU1489400454,SDX,SL5MIB,QZ960002@EXCH Corp,???
LU1489400538,SDX,SS5MIB,QZ960003@EXCH Corp,???
LU1575698995,SDX,SGASL7,AW877394@EXCH Corp,???
NL0012666390,SDX,PA6390,AD051668@EXCH Corp,???
XS1265958246,SDX,SSULE7,UV812161@EXCH Corp,???
IT0003497168,MTA,TIT,TIT IM Equity,"134,077,200.00"
IT0000072618,MTA,ISP,ISP IM Equity,"122,278,600.00"
IT0005218380,MTA,BAMI,BAMI IM Equity,"31,628,170.00"
IE00B8VC8061,ETF,3NGL,3NGL IM Equity,"30,403,690.00"
IT0003128367,MTA,ENEL,ENEL IM Equity,"28,546,110.00"
IT0005319444,MTA,CVAL,CVAL IM Equity,"26,311,720.00"
IT0000336518,MTA,JUVE,JUVE IM Equity,"25,281,570.00"
IT0005239360,MTA,UCG,UCG IM Equity,"17,795,480.00"
IE00B7ZQC614,ETF,3OIL,3OIL IM Equity,"14,235,030.00"
DE000VN9AAR2,SDX,FMIB7S,LW351163@SEDX Corp,"12,712,211.00"
IT0003487029,MTA,UBI,UBI IM Equity,"11,052,320.00"
IT0003132476,MTA,ENI,ENI IM Equity,"10,287,800.00"
IT0003153415,MTA,SRG,SRG IM Equity,"9,249,781.00"
NL0010877643,MTA,FCA,FCA IM Equity,"9,240,930.00"
IT0005252140,MTA,SPM,SPM IM Equity,"9,112,965.00"
IT0001233417,MTA,A2A,A2A IM Equity,"8,191,285.00"
GB00B15KY104,ETF,NGAS,NGAS IM Equity,"6,867,811.00"
IT0004827447,MTA,US,US IM Equity,"6,114,222.00"
IT0003242622,MTA,TRN,TRN IM Equity,"5,789,925.00"
IT0000062072,MTA,G,G IM Equity,"5,738,159.00"
IT0000066123,MTA,BPE,BPE IM Equity,"5,498,771.00"
